"REF_DATE","GEO","DGUID","Visible minority (15)","Generation status (4)","Age (15B)","Gender (3)","Statistics (3)","Income sources and taxes (32)","Income statistics (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","1.1.1.5.1.1.2.4","61000","","","","0"
"2021","Canada","2021A000011124","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","1.1.1.5.2.1.2.4","72000","","","","0"
"2021","Canada","2021A000011124","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","1.1.1.5.3.1.2.4","49880","","","","0"
"2021","Canada","2021A000011124","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","1.2.1.5.1.1.2.4","50840","","","","0"
"2021","Canada","2021A000011124","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","1.2.1.5.2.1.2.4","58800","","","","0"
"2021","Canada","2021A000011124","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","1.2.1.5.3.1.2.4","43080","","","","0"
"2021","Canada","2021A000011124","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","1.15.1.5.1.1.2.4","64700","","","","0"
"2021","Canada","2021A000011124","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","1.15.1.5.2.1.2.4","76700","","","","0"
"2021","Canada","2021A000011124","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","1.15.1.5.3.1.2.4","52450","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","2.1.1.5.1.1.2.4","55700","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","2.1.1.5.2.1.2.4","65600","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","2.1.1.5.3.1.2.4","46040","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","2.2.1.5.1.1.2.4","51250","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","2.2.1.5.2.1.2.4","60650","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","2.2.1.5.3.1.2.4","40920","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","2.15.1.5.1.1.2.4","55850","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","2.15.1.5.2.1.2.4","65800","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","2.15.1.5.3.1.2.4","46200","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","7.1.1.5.1.1.2.4","48320","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","7.1.1.5.2.1.2.4","53700","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","7.1.1.5.3.1.2.4","43200","","","","0"
"2021","Prince Edward Island","2021A000211","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","7.2.1.5.1.1.2.4","32480","","","","0"
"2021","Prince Edward Island","2021A000211","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","7.2.1.5.2.1.2.4","36000","","","","0"
"2021","Prince Edward Island","2021A000211","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","7.2.1.5.3.1.2.4","28960","","","","0"
"2021","Prince Edward Island","2021A000211","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","7.15.1.5.1.1.2.4","49920","","","","0"
"2021","Prince Edward Island","2021A000211","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","7.15.1.5.2.1.2.4","55550","","","","0"
"2021","Prince Edward Island","2021A000211","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","7.15.1.5.3.1.2.4","44600","","","","0"
"2021","Nova Scotia","2021A000212","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","10.1.1.5.1.1.2.4","52650","","","","0"
"2021","Nova Scotia","2021A000212","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","10.1.1.5.2.1.2.4","60850","","","","0"
"2021","Nova Scotia","2021A000212","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","10.1.1.5.3.1.2.4","44720","","","","0"
"2021","Nova Scotia","2021A000212","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","10.2.1.5.1.1.2.4","42720","","","","0"
"2021","Nova Scotia","2021A000212","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","10.2.1.5.2.1.2.4","47600","","","","0"
"2021","Nova Scotia","2021A000212","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","10.2.1.5.3.1.2.4","37440","","","","0"
"2021","Nova Scotia","2021A000212","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","10.15.1.5.1.1.2.4","53650","","","","0"
"2021","Nova Scotia","2021A000212","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","10.15.1.5.2.1.2.4","62300","","","","0"
"2021","Nova Scotia","2021A000212","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","10.15.1.5.3.1.2.4","45440","","","","0"
"2021","New Brunswick","2021A000213","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","16.1.1.5.1.1.2.4","50520","","","","0"
"2021","New Brunswick","2021A000213","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","16.1.1.5.2.1.2.4","57950","","","","0"
"2021","New Brunswick","2021A000213","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","16.1.1.5.3.1.2.4","43040","","","","0"
"2021","New Brunswick","2021A000213","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","16.2.1.5.1.1.2.4","41240","","","","0"
"2021","New Brunswick","2021A000213","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","16.2.1.5.2.1.2.4","47000","","","","0"
"2021","New Brunswick","2021A000213","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","16.2.1.5.3.1.2.4","35000","","","","0"
"2021","New Brunswick","2021A000213","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","16.15.1.5.1.1.2.4","51080","","","","0"
"2021","New Brunswick","2021A000213","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","16.15.1.5.2.1.2.4","58600","","","","0"
"2021","New Brunswick","2021A000213","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","16.15.1.5.3.1.2.4","43520","","","","0"
"2021","Quebec","2021A000224","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","26.1.1.5.1.1.2.4","56000","","","","0"
"2021","Quebec","2021A000224","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","26.1.1.5.2.1.2.4","64600","","","","0"
"2021","Quebec","2021A000224","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","26.1.1.5.3.1.2.4","47200","","","","0"
"2021","Quebec","2021A000224","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","26.2.1.5.1.1.2.4","42960","","","","0"
"2021","Quebec","2021A000224","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","26.2.1.5.2.1.2.4","48960","","","","0"
"2021","Quebec","2021A000224","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","26.2.1.5.3.1.2.4","36840","","","","0"
"2021","Quebec","2021A000224","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","26.15.1.5.1.1.2.4","58450","","","","0"
"2021","Quebec","2021A000224","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","26.15.1.5.2.1.2.4","67600","","","","0"
"2021","Quebec","2021A000224","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","26.15.1.5.3.1.2.4","49160","","","","0"
"2021","Ontario","2021A000235","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","56.1.1.5.1.1.2.4","64000","","","","0"
"2021","Ontario","2021A000235","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","56.1.1.5.2.1.2.4","75400","","","","0"
"2021","Ontario","2021A000235","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","56.1.1.5.3.1.2.4","52650","","","","0"
"2021","Ontario","2021A000235","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","56.2.1.5.1.1.2.4","52850","","","","0"
"2021","Ontario","2021A000235","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","56.2.1.5.2.1.2.4","60700","","","","0"
"2021","Ontario","2021A000235","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","56.2.1.5.3.1.2.4","45160","","","","0"
"2021","Ontario","2021A000235","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","56.15.1.5.1.1.2.4","69900","","","","0"
"2021","Ontario","2021A000235","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","56.15.1.5.2.1.2.4","83000","","","","0"
"2021","Ontario","2021A000235","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","56.15.1.5.3.1.2.4","56700","","","","0"
"2021","Manitoba","2021A000246","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","104.1.1.5.1.1.2.4","54900","","","","0"
"2021","Manitoba","2021A000246","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","104.1.1.5.2.1.2.4","64100","","","","0"
"2021","Manitoba","2021A000246","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","104.1.1.5.3.1.2.4","45360","","","","0"
"2021","Manitoba","2021A000246","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","104.2.1.5.1.1.2.4","43000","","","","0"
"2021","Manitoba","2021A000246","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","104.2.1.5.2.1.2.4","48200","","","","0"
"2021","Manitoba","2021A000246","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","104.2.1.5.3.1.2.4","37480","","","","0"
"2021","Manitoba","2021A000246","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","104.15.1.5.1.1.2.4","58550","","","","0"
"2021","Manitoba","2021A000246","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","104.15.1.5.2.1.2.4","69100","","","","0"
"2021","Manitoba","2021A000246","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","104.15.1.5.3.1.2.4","47720","","","","0"
"2021","Saskatchewan","2021A000247","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","111.1.1.5.1.1.2.4","59400","","","","0"
"2021","Saskatchewan","2021A000247","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.1.1.5.2.1.2.4","69800","","","","0"
"2021","Saskatchewan","2021A000247","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.1.1.5.3.1.2.4","48840","","","","0"
"2021","Saskatchewan","2021A000247","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","111.2.1.5.1.1.2.4","46200","","","","0"
"2021","Saskatchewan","2021A000247","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.2.1.5.2.1.2.4","53150","","","","0"
"2021","Saskatchewan","2021A000247","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.2.1.5.3.1.2.4","38760","","","","0"
"2021","Saskatchewan","2021A000247","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","111.15.1.5.1.1.2.4","61750","","","","0"
"2021","Saskatchewan","2021A000247","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.15.1.5.2.1.2.4","72800","","","","0"
"2021","Saskatchewan","2021A000247","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.15.1.5.3.1.2.4","50600","","","","0"
"2021","Alberta","2021A000248","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","121.1.1.5.1.1.2.4","67800","","","","0"
"2021","Alberta","2021A000248","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.1.1.5.2.1.2.4","83000","","","","0"
"2021","Alberta","2021A000248","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.1.1.5.3.1.2.4","51850","","","","0"
"2021","Alberta","2021A000248","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","121.2.1.5.1.1.2.4","53950","","","","0"
"2021","Alberta","2021A000248","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.2.1.5.2.1.2.4","64200","","","","0"
"2021","Alberta","2021A000248","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.2.1.5.3.1.2.4","43720","","","","0"
"2021","Alberta","2021A000248","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","121.15.1.5.1.1.2.4","73000","","","","0"
"2021","Alberta","2021A000248","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.15.1.5.2.1.2.4","89900","","","","0"
"2021","Alberta","2021A000248","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.15.1.5.3.1.2.4","55100","","","","0"
"2021","British Columbia","2021A000259","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","141.1.1.5.1.1.2.4","60700","","","","0"
"2021","British Columbia","2021A000259","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.1.1.5.2.1.2.4","73100","","","","0"
"2021","British Columbia","2021A000259","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.1.1.5.3.1.2.4","48440","","","","0"
"2021","British Columbia","2021A000259","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","141.2.1.5.1.1.2.4","51700","","","","0"
"2021","British Columbia","2021A000259","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.2.1.5.2.1.2.4","60900","","","","0"
"2021","British Columbia","2021A000259","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.2.1.5.3.1.2.4","43360","","","","0"
"2021","British Columbia","2021A000259","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","141.15.1.5.1.1.2.4","65600","","","","0"
"2021","British Columbia","2021A000259","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.15.1.5.2.1.2.4","79400","","","","0"
"2021","British Columbia","2021A000259","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.15.1.5.3.1.2.4","51400","","","","0"
"2021","Yukon","2021A000260","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","170.1.1.5.1.1.2.4","70500","","","","0"
"2021","Yukon","2021A000260","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.1.1.5.2.1.2.4","77300","","","","0"
"2021","Yukon","2021A000260","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.1.1.5.3.1.2.4","64400","","","","0"
"2021","Yukon","2021A000260","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","170.2.1.5.1.1.2.4","58300","","","","0"
"2021","Yukon","2021A000260","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.2.1.5.2.1.2.4","60900","","","","0"
"2021","Yukon","2021A000260","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.2.1.5.3.1.2.4","56200","","","","0"
"2021","Yukon","2021A000260","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","170.15.1.5.1.1.2.4","72400","","","","0"
"2021","Yukon","2021A000260","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.15.1.5.2.1.2.4","79800","","","","0"
"2021","Yukon","2021A000260","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.15.1.5.3.1.2.4","65700","","","","0"
"2021","Northwest Territories","2021A000261","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","172.1.1.5.1.1.2.4","81000","","","","0"
"2021","Northwest Territories","2021A000261","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.1.1.5.2.1.2.4","86400","","","","0"
"2021","Northwest Territories","2021A000261","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.1.1.5.3.1.2.4","75700","","","","0"
"2021","Northwest Territories","2021A000261","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","172.2.1.5.1.1.2.4","74800","","","","0"
"2021","Northwest Territories","2021A000261","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.2.1.5.2.1.2.4","79800","","","","0"
"2021","Northwest Territories","2021A000261","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.2.1.5.3.1.2.4","70100","","","","0"
"2021","Northwest Territories","2021A000261","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","172.15.1.5.1.1.2.4","82000","","","","0"
"2021","Northwest Territories","2021A000261","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.15.1.5.2.1.2.4","87300","","","","0"
"2021","Northwest Territories","2021A000261","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.15.1.5.3.1.2.4","76600","","","","0"
"2021","Nunavut","2021A000262","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","174.1.1.5.1.1.2.4","67900","","","","0"
"2021","Nunavut","2021A000262","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.1.1.5.2.1.2.4","68800","","","","0"
"2021","Nunavut","2021A000262","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.1.1.5.3.1.2.4","67100","","","","0"
"2021","Nunavut","2021A000262","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","174.2.1.5.1.1.2.4","103400","","","","0"
"2021","Nunavut","2021A000262","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.2.1.5.2.1.2.4","108400","","","","0"
"2021","Nunavut","2021A000262","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.2.1.5.3.1.2.4","98400","","","","0"
"2021","Nunavut","2021A000262","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","174.15.1.5.1.1.2.4","65500","","","","0"
"2021","Nunavut","2021A000262","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.15.1.5.2.1.2.4","66100","","","","0"
"2021","Nunavut","2021A000262","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","174.15.1.5.3.1.2.4","64900","","","","0"


